                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                  1.035,                0.99837,                 1.3433,                0.77468,                0.79343,                0.88217,                0.69611,                0.81876,                0.71244,                 1.1835,               0.001076,               0.001076,               0.001076
                     72,                0.99734,                0.97411,                 1.2968,                0.81675,                0.73427,                0.86863,                0.67524,                0.86847,                 0.7452,                 1.2471,              0.0010628,              0.0010628,              0.0010628
                     73,                 1.0192,                0.95714,                 1.3104,                0.78408,                0.83916,                0.87905,                0.70276,                0.81494,                0.71384,                 1.2032,              0.0010496,              0.0010496,              0.0010496
                     74,                0.97467,                0.93225,                 1.2951,                0.83362,                0.77622,                0.88027,                0.67287,                 0.9052,                0.76538,                 1.2243,              0.0010364,              0.0010364,              0.0010364
                     75,                0.98511,                0.90971,                 1.2921,                0.83694,                0.75374,                 0.8821,                0.69322,                0.83893,                0.72706,                 1.2064,              0.0010232,              0.0010232,              0.0010232
                     76,                0.96606,                0.89761,                  1.284,                 0.8582,                0.76923,                0.87487,                0.67768,                0.89043,                0.77588,                 1.2451,                0.00101,                0.00101,                0.00101
                     77,                0.98901,                0.92151,                 1.3016,                0.87002,                0.83217,                 0.9036,                0.70269,                0.83019,                 0.7268,                 1.1933,              0.0009968,              0.0009968,              0.0009968
                     78,                 1.0418,                0.96491,                 1.2871,                0.83264,                0.75524,                0.87514,                0.70196,                0.83988,                0.71282,                 1.2123,              0.0009836,              0.0009836,              0.0009836
                     79,                 1.0132,                0.94039,                 1.2971,                0.80698,                0.78322,                0.88187,                0.70369,                0.82534,                0.71259,                 1.1981,              0.0009704,              0.0009704,              0.0009704
                     80,                0.98555,                0.95452,                 1.2937,                0.77141,                0.74126,                0.84826,                0.67075,                0.84007,                 0.8188,                 1.2093,              0.0009572,              0.0009572,              0.0009572
                     81,                 1.0168,                0.94669,                  1.294,                0.76718,                0.82517,                0.87986,                0.70993,                0.77533,                0.71967,                 1.1832,               0.000944,               0.000944,               0.000944
                     82,                0.96666,                0.88771,                  1.271,                 0.8555,                0.78322,                0.89193,                0.69763,                0.85862,                0.71464,                 1.1888,              0.0009308,              0.0009308,              0.0009308
                     83,                0.99011,                0.92749,                 1.2929,                0.90362,                0.74825,                0.88337,                0.70159,                0.80561,                0.70726,                 1.1628,              0.0009176,              0.0009176,              0.0009176
                     84,                0.93197,                0.88525,                 1.2676,                0.90232,                0.74126,                0.88502,                0.70478,                0.82515,                0.67048,                 1.1917,              0.0009044,              0.0009044,              0.0009044
                     85,                0.99035,                0.90668,                 1.2882,                0.80935,                0.83916,                0.88891,                0.69625,                0.84154,                0.71841,                 1.2018,              0.0008912,              0.0008912,              0.0008912
                     86,                0.97412,                0.89475,                 1.2664,                0.82602,                0.72727,                0.86641,                0.69012,                0.78741,                0.73184,                 1.1834,               0.000878,               0.000878,               0.000878
                     87,                0.95442,                0.87162,                 1.2684,                0.88683,                0.72028,                0.88177,                0.71725,                0.81943,                0.69952,                 1.1923,              0.0008648,              0.0008648,              0.0008648
                     88,                0.99403,                0.91339,                 1.2739,                0.83879,                0.78322,                0.88805,                 0.7146,                0.79623,                0.69155,                 1.1552,              0.0008516,              0.0008516,              0.0008516
                     89,                 0.9283,                0.85911,                 1.2629,                0.83753,                0.82916,                0.89706,                0.69144,                0.87753,                0.68536,                 1.1991,              0.0008384,              0.0008384,              0.0008384
                     90,                0.96666,                 0.8791,                 1.2742,                0.80173,                0.85315,                0.90209,                0.71485,                0.80033,                0.68826,                 1.1672,              0.0008252,              0.0008252,              0.0008252
                     91,                0.94974,                0.85948,                 1.2593,                0.77763,                0.82517,                0.87075,                0.71675,                0.77626,                0.68124,                 1.1631,               0.000812,               0.000812,               0.000812
                     92,                0.96237,                0.89748,                 1.2494,                0.86626,                0.72475,                0.86977,                0.69716,                0.82012,                0.70905,                 1.1936,              0.0007988,              0.0007988,              0.0007988
                     93,                0.94512,                0.86236,                 1.2587,                0.88774,                0.82952,                0.90259,                0.73316,                0.74653,                0.68109,                 1.1433,              0.0007856,              0.0007856,              0.0007856
                     94,                0.94048,                0.83726,                 1.2336,                0.85085,                0.83775,                 0.9111,                0.74554,                 0.7471,                0.64656,                 1.1396,              0.0007724,              0.0007724,              0.0007724
                     95,                0.91944,                0.85453,                 1.2413,                0.84237,                0.85955,                0.91765,                0.73936,                0.76838,                0.62278,                 1.1501,              0.0007592,              0.0007592,              0.0007592
                     96,                0.93379,                0.86396,                 1.2516,                0.83261,                0.81818,                0.88908,                0.72769,                0.75492,                0.69142,                 1.1543,               0.000746,               0.000746,               0.000746
                     97,                0.93095,                0.84635,                 1.2582,                0.82574,                0.81119,                0.88947,                0.72153,                0.80019,                0.70112,                 1.1706,              0.0007328,              0.0007328,              0.0007328
                     98,                0.90499,                0.81664,                 1.2205,                0.85575,                0.85315,                 0.9132,                0.74114,                0.75194,                0.62926,                 1.1578,              0.0007196,              0.0007196,              0.0007196
                     99,                0.89764,                0.81144,                  1.224,                0.89266,                0.81418,                 0.9223,                0.75303,                0.73944,                0.60962,                 1.1223,              0.0007064,              0.0007064,              0.0007064
                    100,                 0.8934,                0.81226,                 1.2394,                0.87385,                0.87195,                0.92648,                0.73784,                0.77342,                0.61868,                 1.1475,              0.0006932,              0.0006932,              0.0006932
                    101,                0.92585,                0.84087,                 1.2218,                0.88502,                0.80743,                0.90871,                0.74607,                0.75859,                0.64295,                 1.1412,                0.00068,                0.00068,                0.00068
                    102,                0.90483,                  0.826,                 1.2347,                0.86095,                0.78322,                0.90853,                0.72929,                0.76705,                0.67324,                 1.1239,              0.0006668,              0.0006668,              0.0006668
                    103,                0.93389,                0.86232,                 1.2539,                0.80393,                0.84615,                0.90753,                0.73701,                0.75188,                0.62297,                 1.1497,              0.0006536,              0.0006536,              0.0006536
                    104,                 0.9177,                0.81304,                 1.2324,                0.84412,                0.87413,                0.91927,                0.74264,                0.75506,                0.64742,                 1.1346,              0.0006404,              0.0006404,              0.0006404
                    105,                 0.8803,                0.80129,                  1.231,                 0.8407,                0.88112,                0.92055,                0.74503,                0.75404,                0.62801,                 1.1275,              0.0006272,              0.0006272,              0.0006272
                    106,                0.85728,                0.79095,                 1.2147,                0.87373,                0.82264,                0.91612,                 0.7206,                0.80374,                0.67516,                 1.1605,               0.000614,               0.000614,               0.000614
                    107,                 0.9182,                0.81228,                 1.2088,                0.81694,                0.88811,                0.91818,                0.74979,                0.73613,                0.61186,                 1.1313,              0.0006008,              0.0006008,              0.0006008
                    108,                0.89617,                0.81318,                 1.2458,                0.92789,                0.82517,                0.92935,                0.74731,                0.75535,                0.60943,                 1.1148,              0.0005876,              0.0005876,              0.0005876
                    109,                0.90276,                0.78758,                 1.2021,                0.81814,                0.85315,                0.91028,                0.74663,                0.74576,                0.62223,                 1.1329,              0.0005744,              0.0005744,              0.0005744
                    110,                0.89455,                0.78994,                 1.2172,                0.88577,                0.81119,                0.90534,                0.74286,                0.72929,                0.62645,                 1.1323,              0.0005612,              0.0005612,              0.0005612
                    111,                0.86736,                 0.7864,                 1.2046,                0.82425,                0.87413,                0.90362,                0.73108,                0.75977,                0.64587,                 1.1492,               0.000548,               0.000548,               0.000548
                    112,                0.90001,                0.78677,                 1.2181,                 0.8549,                0.86713,                0.90424,                0.75403,                0.73834,                0.62072,                 1.1351,              0.0005348,              0.0005348,              0.0005348
                    113,                0.86647,                0.77804,                  1.205,                0.85657,                0.83529,                0.91588,                0.76264,                0.74565,                0.59439,                  1.123,              0.0005216,              0.0005216,              0.0005216
                    114,                0.85573,                 0.7686,                 1.2106,                0.82943,                0.85315,                0.90993,                0.74594,                0.76683,                0.62175,                 1.1302,              0.0005084,              0.0005084,              0.0005084
                    115,                0.89404,                0.81674,                  1.212,                0.90574,                0.80634,                 0.9189,                0.74731,                0.76101,                0.58436,                 1.1312,              0.0004952,              0.0004952,              0.0004952
                    116,                 0.8803,                0.79227,                 1.2217,                0.86986,                0.85315,                0.91204,                 0.7517,                0.74273,                0.61956,                 1.1235,               0.000482,               0.000482,               0.000482
                    117,                0.87355,                0.77331,                 1.1997,                0.83189,                 0.7972,                0.89004,                0.74755,                0.72751,                0.63015,                 1.1101,              0.0004688,              0.0004688,              0.0004688
                    118,                0.86807,                0.77101,                 1.2031,                0.86732,                0.82285,                0.89962,                0.74858,                0.71621,                0.61092,                 1.0982,              0.0004556,              0.0004556,              0.0004556
                    119,                0.84745,                0.76956,                 1.2063,                0.86837,                0.83038,                0.91393,                0.75389,                0.69987,                 0.6027,                 1.0954,              0.0004424,              0.0004424,              0.0004424
                    120,                0.88353,                0.78462,                 1.2072,                0.86743,                0.82361,                0.90728,                 0.7588,                0.70275,                0.61195,                 1.1007,              0.0004292,              0.0004292,              0.0004292
